| model                                          |                   test |      t/s (total) |        t/s (req) |     peak t/s |   peak t/s (req) |             ttfr (ms) |          est_ppt (ms) |         e2e_ttft (ms) |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    pp2048 @ d4096 (c1) |    676.09 ± 5.20 |    676.09 ± 5.20 |              |                  |       3035.20 ± 23.41 |       3029.36 ± 23.41 |       3035.20 ± 23.41 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |     tg128 @ d4096 (c1) |     21.98 ± 0.49 |     21.98 ± 0.49 | 26.33 ± 0.47 |     26.33 ± 0.47 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_pp @ d4096 (c2) |   2060.99 ± 2.00 |   1032.18 ± 1.01 |              |                  |        3973.97 ± 3.70 |        3968.13 ± 3.70 |        3973.97 ± 3.70 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_tg @ d4096 (c2) |     37.39 ± 0.50 |     19.08 ± 0.54 | 43.33 ± 1.25 |     22.00 ± 0.58 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    pp2048 @ d4096 (c2) |   662.61 ± 61.39 |   331.66 ± 30.75 |              |                  |      6238.12 ± 618.18 |      6232.28 ± 618.18 |      6238.12 ± 618.18 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |     tg128 @ d4096 (c2) |     36.12 ± 0.57 |     18.63 ± 0.61 | 42.00 ± 0.82 |     21.67 ± 0.75 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_pp @ d4096 (c5) |  1050.18 ± 21.01 |  535.82 ± 221.36 |              |                  |     9551.60 ± 5176.16 |     9545.76 ± 5176.16 |     9551.60 ± 5176.16 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_tg @ d4096 (c5) |     31.07 ± 0.28 |     13.32 ± 4.94 | 62.00 ± 2.45 |     18.20 ± 4.26 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    pp2048 @ d4096 (c5) |    430.97 ± 8.18 |   182.28 ± 58.06 |              |                  |    12951.83 ± 5643.72 |    12945.99 ± 5643.72 |    12951.83 ± 5643.72 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |     tg128 @ d4096 (c5) |     30.06 ± 0.25 |     12.29 ± 4.70 | 64.33 ± 1.25 |     18.27 ± 3.80 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_pp @ d4096 (c10) |   1062.51 ± 5.21 |  346.14 ± 247.45 |              |                  |   19297.57 ± 11697.99 |   19291.73 ± 11697.99 |   19297.57 ± 11697.99 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_tg @ d4096 (c10) |     31.15 ± 0.32 |     10.98 ± 3.15 | 64.00 ± 0.82 |     17.40 ± 2.06 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   pp2048 @ d4096 (c10) |    419.92 ± 6.43 |   120.36 ± 75.94 |              |                  |   25177.36 ± 14166.21 |   25171.52 ± 14166.21 |   25177.36 ± 14166.21 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    tg128 @ d4096 (c10) |     26.71 ± 0.04 |      9.72 ± 3.41 | 63.67 ± 1.25 |     17.13 ± 2.19 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_pp @ d8192 (c1) |  2022.22 ± 30.62 |  2022.22 ± 30.62 |              |                  |       4057.78 ± 62.02 |       4051.94 ± 62.02 |       4057.78 ± 62.02 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_tg @ d8192 (c1) |     21.93 ± 1.36 |     21.93 ± 1.36 | 26.33 ± 0.47 |     26.33 ± 0.47 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    pp2048 @ d8192 (c1) |   386.41 ± 42.64 |   386.41 ± 42.64 |              |                  |      5376.78 ± 642.53 |      5370.94 ± 642.53 |      5376.78 ± 642.53 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |     tg128 @ d8192 (c1) |     22.25 ± 0.37 |     22.25 ± 0.37 | 25.67 ± 0.47 |     25.67 ± 0.47 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_pp @ d8192 (c2) |   2120.40 ± 3.01 |   1061.13 ± 1.49 |              |                  |       7725.75 ± 10.84 |       7719.91 ± 10.84 |       7725.75 ± 10.84 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_tg @ d8192 (c2) |     36.32 ± 1.29 |     18.26 ± 0.66 | 41.33 ± 0.94 |     21.00 ± 0.58 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    pp2048 @ d8192 (c2) |    414.51 ± 0.07 |   221.46 ± 14.08 |              |                  |      9291.12 ± 590.28 |      9285.28 ± 590.28 |      9291.12 ± 590.28 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |     tg128 @ d8192 (c2) |     30.40 ± 0.74 |     17.07 ± 1.43 | 41.00 ± 0.00 |     21.83 ± 1.07 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_pp @ d8192 (c5) |  1406.81 ± 10.18 |  600.15 ± 264.50 |              |                  |    16373.27 ± 7040.80 |    16367.43 ± 7040.80 |    16373.27 ± 7040.80 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    ctx_tg @ d8192 (c5) |     24.04 ± 1.58 |     11.39 ± 5.65 | 63.67 ± 1.25 |     18.33 ± 4.03 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    pp2048 @ d8192 (c5) |    301.97 ± 5.88 |   113.77 ± 37.37 |              |                  |    20264.77 ± 7418.32 |    20258.93 ± 7418.32 |    20264.77 ± 7418.32 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |     tg128 @ d8192 (c5) |     22.92 ± 0.64 |     11.53 ± 6.02 | 66.67 ± 3.09 |     18.93 ± 3.84 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_pp @ d8192 (c10) |  1403.10 ± 11.43 |  383.80 ± 255.48 |              |                  |   31068.85 ± 16591.62 |   31063.01 ± 16591.62 |   31068.85 ± 16591.62 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_tg @ d8192 (c10) |     21.88 ± 1.27 |      9.32 ± 4.10 | 66.33 ± 3.40 |     17.03 ± 3.36 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   pp2048 @ d8192 (c10) |    298.87 ± 4.72 |    81.67 ± 60.79 |              |                  |   37349.25 ± 19581.10 |   37343.41 ± 19581.10 |   37349.25 ± 19581.10 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    tg128 @ d8192 (c10) |     18.62 ± 1.45 |      8.89 ± 4.32 | 64.67 ± 0.94 |     16.87 ± 3.41 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_pp @ d16384 (c1) | 1949.95 ± 191.00 | 1949.95 ± 191.00 |              |                  |      8495.60 ± 893.36 |      8489.76 ± 893.36 |      8496.30 ± 894.34 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_tg @ d16384 (c1) |     23.11 ± 0.67 |     23.11 ± 0.67 | 26.00 ± 0.00 |     26.00 ± 0.00 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   pp2048 @ d16384 (c1) |   212.11 ± 18.12 |   212.11 ± 18.12 |              |                  |      9736.77 ± 884.53 |      9730.93 ± 884.53 |      9737.54 ± 885.63 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    tg128 @ d16384 (c1) |     23.90 ± 0.61 |     23.90 ± 0.61 | 26.67 ± 0.47 |     26.67 ± 0.47 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_pp @ d16384 (c2) |  1964.61 ± 81.06 | 1207.77 ± 235.19 |              |                  |    14095.73 ± 2703.72 |    14089.89 ± 2703.72 |    14095.88 ± 2703.63 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_tg @ d16384 (c2) |     21.08 ± 1.22 |     14.92 ± 4.31 | 42.33 ± 0.47 |     22.17 ± 0.90 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   pp2048 @ d16384 (c2) |    224.83 ± 6.08 |    116.52 ± 5.23 |              |                  |     17618.20 ± 794.29 |     17612.36 ± 794.29 |     17618.71 ± 794.08 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    tg128 @ d16384 (c2) |     31.30 ± 1.45 |     17.35 ± 1.54 | 41.67 ± 1.25 |     21.50 ± 0.50 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_pp @ d16384 (c5) |  1688.49 ± 33.20 |  682.01 ± 390.66 |              |                  |   30166.23 ± 11866.99 |   30160.39 ± 11866.99 |   30167.15 ± 11866.94 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_tg @ d16384 (c5) |     14.88 ± 0.13 |     10.74 ± 6.80 | 64.33 ± 3.30 |     18.67 ± 4.04 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   pp2048 @ d16384 (c5) |    189.32 ± 3.56 |    67.05 ± 22.15 |              |                  |   34108.96 ± 11481.69 |   34103.12 ± 11481.69 |   34109.14 ± 11481.55 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    tg128 @ d16384 (c5) |     15.79 ± 0.18 |      9.47 ± 6.55 | 61.33 ± 1.25 |     18.20 ± 3.97 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_pp @ d16384 (c10) |   1696.55 ± 1.92 |  459.03 ± 375.01 |              |                  |   53440.50 ± 27194.51 |   53434.66 ± 27194.51 |   53441.30 ± 27194.30 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_tg @ d16384 (c10) |     13.74 ± 0.01 |      7.30 ± 4.80 | 65.67 ± 2.49 |     17.30 ± 1.97 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  pp2048 @ d16384 (c10) |    189.42 ± 4.46 |    46.12 ± 27.49 |              |                  |   60634.18 ± 30237.83 |   60628.34 ± 30237.83 |   60634.83 ± 30238.06 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   tg128 @ d16384 (c10) |     13.24 ± 0.32 |      7.62 ± 5.28 | 64.00 ± 0.82 |     17.50 ± 2.23 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_pp @ d32768 (c1) |  1912.18 ± 91.42 |  1912.18 ± 91.42 |              |                  |     17181.48 ± 819.34 |     17175.64 ± 819.34 |     17184.96 ± 819.07 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_tg @ d32768 (c1) |     23.49 ± 0.55 |     23.49 ± 0.55 | 26.67 ± 0.47 |     26.67 ± 0.47 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   pp2048 @ d32768 (c1) |    111.28 ± 4.53 |    111.28 ± 4.53 |              |                  |     18439.50 ± 739.50 |     18433.66 ± 739.50 |     18442.07 ± 741.21 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    tg128 @ d32768 (c1) |     23.00 ± 0.28 |     23.00 ± 0.28 | 26.00 ± 0.00 |     26.00 ± 0.00 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_pp @ d32768 (c2) |  1934.73 ± 10.50 | 1274.80 ± 307.31 |              |                  |    27295.56 ± 6577.01 |    27289.72 ± 6577.01 |    27298.42 ± 6578.39 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_tg @ d32768 (c2) |     12.56 ± 0.19 |     12.22 ± 5.80 | 41.67 ± 2.49 |     21.67 ± 0.75 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   pp2048 @ d32768 (c2) |    113.49 ± 0.16 |     63.41 ± 6.65 |              |                  |    32662.44 ± 3424.74 |    32656.60 ± 3424.74 |    32666.68 ± 3424.40 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    tg128 @ d32768 (c2) |     18.11 ± 0.20 |     13.91 ± 4.59 | 42.33 ± 0.47 |     21.17 ± 0.69 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_pp @ d32768 (c5) |  1780.72 ± 18.87 |  747.38 ± 464.84 |              |                  |   57343.78 ± 23893.73 |   57337.94 ± 23893.73 |   57344.44 ± 23893.26 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_tg @ d32768 (c5) |      8.18 ± 0.06 |      7.65 ± 7.76 | 62.00 ± 0.82 |     17.93 ± 3.91 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   pp2048 @ d32768 (c5) |    103.34 ± 0.23 |    39.02 ± 17.20 |              |                  |   62178.24 ± 23653.02 |   62172.40 ± 23653.02 |   62179.24 ± 23651.78 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    tg128 @ d32768 (c5) |      8.44 ± 0.02 |      8.83 ± 7.97 | 65.33 ± 2.05 |     18.53 ± 3.93 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_pp @ d32768 (c10) |  1764.61 ± 10.00 |  478.49 ± 407.12 |              |                  |  104589.66 ± 52987.40 |  104583.82 ± 52987.40 |  104589.72 ± 52987.33 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_tg @ d32768 (c10) |      7.35 ± 0.06 |      5.36 ± 4.90 | 62.33 ± 0.47 |     16.83 ± 2.40 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  pp2048 @ d32768 (c10) |    103.82 ± 0.29 |    26.21 ± 17.95 |              |                  |  110918.83 ± 55039.24 |  110912.99 ± 55039.24 |  110919.05 ± 55039.17 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   tg128 @ d32768 (c10) |      7.25 ± 0.03 |      4.86 ± 4.92 | 62.33 ± 1.25 |     16.97 ± 2.48 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_pp @ d65535 (c1) |   1817.55 ± 4.82 |   1817.55 ± 4.82 |              |                  |      36062.91 ± 95.53 |      36057.07 ± 95.53 |      36066.34 ± 97.67 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_tg @ d65535 (c1) |     23.56 ± 1.15 |     23.56 ± 1.15 | 26.00 ± 0.00 |     26.00 ± 0.00 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   pp2048 @ d65535 (c1) |     55.51 ± 0.57 |     55.51 ± 0.57 |              |                  |     36902.95 ± 382.44 |     36897.11 ± 382.44 |     36908.50 ± 382.34 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    tg128 @ d65535 (c1) |     22.86 ± 1.38 |     22.86 ± 1.38 | 26.33 ± 0.94 |     26.33 ± 0.94 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_pp @ d65535 (c2) |   1821.99 ± 7.07 | 1290.89 ± 379.92 |              |                  |   55585.25 ± 16352.11 |   55579.41 ± 16352.11 |   55588.11 ± 16353.29 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_tg @ d65535 (c2) |      6.46 ± 0.05 |     11.24 ± 8.04 | 41.67 ± 1.25 |     21.17 ± 0.37 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   pp2048 @ d65535 (c2) |     55.44 ± 0.27 |     35.26 ± 7.55 |              |                  |   60882.39 ± 13011.36 |   60876.55 ± 13011.36 |   60883.75 ± 13011.85 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    tg128 @ d65535 (c2) |      7.70 ± 0.14 |     11.07 ± 7.21 | 41.33 ± 0.47 |     21.33 ± 0.75 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_pp @ d65535 (c5) |   1726.26 ± 7.01 |  742.10 ± 454.30 |              |                  |  116576.41 ± 50917.33 |  116570.57 ± 50917.33 |  116577.00 ± 50916.45 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   ctx_tg @ d65535 (c5) |      4.09 ± 0.05 |      5.50 ± 7.53 | 62.33 ± 0.47 |     18.27 ± 3.47 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   pp2048 @ d65535 (c5) |     52.60 ± 0.24 |    21.41 ± 11.20 |              |                  |  119920.59 ± 50402.31 |  119914.75 ± 50402.31 |  119921.30 ± 50401.54 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |    tg128 @ d65535 (c5) |      4.19 ± 0.04 |      6.38 ± 8.12 | 61.67 ± 2.05 |     17.80 ± 3.97 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_pp @ d65535 (c10) |   1816.80 ± 2.67 |  509.41 ± 442.62 |              |                  | 200506.67 ± 102381.65 | 200500.83 ± 102381.65 | 200506.94 ± 102381.25 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_tg @ d65535 (c10) |      3.72 ± 0.10 |      3.71 ± 5.57 | 62.67 ± 1.25 |     17.10 ± 2.69 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  pp2048 @ d65535 (c10) |     54.83 ± 0.02 |    14.73 ± 11.43 |              |                  | 208644.82 ± 106722.22 | 208638.98 ± 106722.22 | 208645.42 ± 106721.40 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   tg128 @ d65535 (c10) |      3.80 ± 0.00 |      3.30 ± 4.87 | 61.67 ± 0.94 |     17.13 ± 2.40 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_pp @ d100000 (c1) |   1765.65 ± 0.43 |   1765.65 ± 0.43 |              |                  |      56642.03 ± 13.63 |      56636.19 ± 13.63 |      56644.55 ± 16.32 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_tg @ d100000 (c1) |     24.08 ± 0.62 |     24.08 ± 0.62 | 26.67 ± 0.47 |     26.67 ± 0.47 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  pp2048 @ d100000 (c1) |     35.33 ± 0.00 |     35.33 ± 0.00 |              |                  |       57970.32 ± 4.65 |       57964.48 ± 4.65 |       57972.68 ± 3.05 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   tg128 @ d100000 (c1) |     21.57 ± 0.72 |     21.57 ± 0.72 | 24.67 ± 0.47 |     24.67 ± 0.47 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_pp @ d100000 (c2) |   1773.69 ± 0.13 | 1187.84 ± 300.93 |              |                  |   89966.07 ± 22790.51 |   89960.23 ± 22790.51 |   89968.04 ± 22790.88 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_tg @ d100000 (c2) |      4.84 ± 0.02 |     10.37 ± 7.95 | 40.33 ± 0.94 |     21.67 ± 1.97 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  pp2048 @ d100000 (c2) |     35.48 ± 0.01 |     24.04 ± 6.29 |              |                  |   91477.74 ± 23945.38 |   91471.90 ± 23945.38 |   91480.21 ± 23947.85 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   tg128 @ d100000 (c2) |      4.60 ± 0.02 |     10.21 ± 7.90 | 40.00 ± 0.00 |     21.67 ± 0.94 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_pp @ d100000 (c5) |   1730.85 ± 3.94 |  732.43 ± 410.18 |              |                  |  176099.56 ± 77268.56 |  176093.72 ± 77268.56 |  176099.56 ± 77268.56 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  ctx_tg @ d100000 (c5) |      2.79 ± 0.01 |      5.61 ± 8.69 | 60.00 ± 2.83 |     18.00 ± 4.15 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  pp2048 @ d100000 (c5) |     34.51 ± 0.13 |     14.71 ± 8.24 |              |                  |  180053.26 ± 79717.49 |  180047.42 ± 79717.49 |  180053.71 ± 79717.17 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |   tg128 @ d100000 (c5) |      2.71 ± 0.00 |      5.30 ± 8.26 | 59.00 ± 1.63 |     17.40 ± 4.08 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 | ctx_pp @ d100000 (c10) |   1733.57 ± 1.82 |  476.05 ± 386.23 |              |                  | 320714.87 ± 163856.02 | 320709.03 ± 163856.02 | 320714.87 ± 163856.02 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 | ctx_tg @ d100000 (c10) |      2.38 ± 0.11 |      2.91 ± 5.64 | 65.00 ± 0.82 |     16.70 ± 3.98 |                       |                       |                       |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 | pp2048 @ d100000 (c10) |     34.60 ± 0.01 |      9.63 ± 7.89 |              |                  | 327346.84 ± 168748.12 | 327341.00 ± 168748.12 | 327346.84 ± 168748.12 |
| nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 |  tg128 @ d100000 (c10) |      2.35 ± 0.05 |      2.75 ± 5.16 | 60.33 ± 1.25 |     16.70 ± 2.60 |                       |                       |                       |
